AnahtarKelime,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
yumurta çikolata,546,4.9,61,31
dana,250,26,0,20
kuşbaşı,250,26,0,20
kıyma,250,26,0,20
piliç,165,31,0,3.6
tavuk,165,31,0,3.6
yoğurt,61,5.2,4.3,3.1
süt,64,3.3,4.7,3.5
bulgur,340,12.5,73,1
pirinç,360,7.1,79,0.5
makarna,370,13,75,1.5
yumurta,143,13,1,10
peynir,350,25,2,28
ekmek,265,9,49,3
bonfile,165,31,0,3.6
kavurma,250,26,0,20
kanat,165,31,0,3.6
köfte,250,26,0,20
çipura,84,18,0,1
pastırma,200,30,3,5
pastirma,200,30,3,5
bıldırcın eti,134,22,0,5
hindi,107,25,0,1
baby şiş,165,31,0,3.6
sardalya,151,23,0,6
kuzu,226,16,0,18
somon,146,22,0,6
yengeç,101,20,0,2
kalamar,129,18,0,7
ton balığı,193,24,0,11
ton balık,193,24,0,11
hamsi,197,17,0,15
fish finger,185,14,13,8
sushida,162,4,26,4
but,165,31,0,3.6
karides,106,20,1,2
osmanlı sucuğu,440,16,4,40
parmak sucuk,389,16,1.5,40
balık lokum,80,15,0,1
kuru et,185,35,0,5
vakumlu sucuk,456,15,3,40
baget,81,10,0,4
levrek,148,22,1,6
midye dolma,30,2,3,1
gurme sucuk,430,16,1.5,40
ciger,126,18,0,6
ahtapot,82,15,2,1
keyfi sucuk,430,16,1.5,40
uskumru,250,23,1,17
italyan salam,354,21,0,30
büfe sucuk,297,15,5,24
kangal sucuk,380,14,2,35
vegan sucuk,191,23,4,7
gravyerli sosis,163,21,4,7
deniz ürünleri salatası,272,13,0,18
polonez 90 gr kurutulmuş dilimli füme et,129,25,0,3
füme et,129,25,0,3
apikoğlu 100 gr kekikli kırmızı biberli jambon,129,25,0,3
ispanyol salam,195,10,7,15
baton sucuk,399,14,7,35
deniz yosunu,30,2,7,0.30
yosun,30,2,7,0.30
yosunu,30,2,7,0.30
közlenmiş patlıcan,45,2,11,0.30
evlik sucuk,380,14,2,35
salam,58,3,1,5
fish&chips 156,8,17,6
kasap sucuk,432,16,2,40
sermente sucuk,427,16,1,40
sucuk,432,16,2,40
macar salam,15,0.75,0.11,1
göğüs füme,110,21,1,3
pınar sosis,217,12,4,17
ıstakoz,97,20,1,0.50
füme dil,282,19,0,22
antrikot,165,20,0,9
panga fileto,88,20,1,0.4
mezgit,132,21,0.4,4.5
midye eti,86,14,3,3
baton salam,58,3,1,5
susida,162,4,26,4
sushi,162,4,26,4
çay,2,0,1,0
çayı,2,0,1,0
bitki çayı,8,1,1,0
cay,2,0,1,0
kahve,2,0.2,0.09,0.05
kahvesi,2,0.2,0.09,0.05
üzüm suyu,56,0,16,0
karadut suyu,56,0,16,0
kola,42,0,10,0
coca-cola,42,0,10,0
nektarı suyu,56,0,16,0
nar suyu,56,0,16,0
maden suyu,0,0,0,0
su,0,0,0,0
doğal kaynak suyu,0,0,0,0
