Name,Market,Price,CategoryName,ImageUrl,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
Banvit 1 kg Bonfile Göğüs,Carrefoursa,"219,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/banvit-1-kg-bonfile-gogus-_286908.jpg,165,31,0,3.6
Banvit 1 kg Piliç Kanat,Carrefoursa,"159,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/banvit-1-kg-pilic-kanat-_286872.jpg,165,31,0,3.6
1 kg 300-400 Çipura,Carrefoursa,"370,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/1-kg-300-400-cipura-_286967.jpg,84,18,0,1
Torku 1 kg Blok Kavurma,Bim,"625,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/torku-1-kg-blok-kavurma-_1257870.jpg,250,26,0,20
Gedik 1 kg Piliç Ciğer Yürek,Getir Büyük,"30,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gedik-1-kg-pilic-ciger-yurek-_2036080.jpg,165,31,0,3.6
Pınar 1 kg Kasap Dana Köftelik Kıyma,PınarOnline,"579,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-1-kg-kasap-dana-koftelik-kiyma-_2066066.jpg,250,26,0,20
Banvit 1150 gr Piliç Bonfile Göğüs,a101,"189,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/banvit-1150-gr-pilic-bonfile-gogus-_893110.jpg,165,31,0,3.6
Beypiliç Poşetli 2 kg Bütün Piliç,Carrefoursa,"99,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/beypilic-posetli-2-kg-butun-pilic-_286943.jpg,165,31,0,3.6
1 kg Kasap Köfte,Carrefoursa,"569,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/1-kg-kasap-kofte-_286777.jpg,250,26,0,20
1 kg Dana Kıyma %14-20 Yağ,Carrefoursa,"549,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/1-kg-dana-kiyma-14-20-yag-_286653.jpg,250,26,0,20
Şehzade 1 kg Seçme Pastırma,PttAVM,"1.070,07 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/sehzade-1-kg-secme-pastirma-_901766.jpg,200,30,3,5
Cumhuriyet Sucukları 500 gr Dana Sucuk,afyongıda,"485,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/cumhuriyet-sucuklari-500-gr-dana-sucuk-_1122588.jpg,432,16,2,40
Bolca 500 gr Hindi Külbastı,Carrefoursa,"129,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/bolca-500-gr-hindi-kulbasti-_1137394.jpg,107,25,0,1
Bolca 1 kg Tabaklı Hindi Sote But,Carrefoursa,"435,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/bolca-1-kg-tabakli-hindi-sote-but-_286869.jpg,107,25,0,1
Lezita 2 kg Taze Poşetli Bütün Piliç,Carrefoursa,"99,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/lezita-2-kg-taze-posetli-butun-pilic-_1097054.jpg,165,31,0,3.6
Lezita 1 kg Tabaklı Izgara Üst Kanat,Carrefoursa,"217,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/lezita-1-kg-tabakli-izgara-ust-kanat-_214230.jpg,165,31,0,3.6
1 kg Dana Döş Sarma,Carrefoursa,"569,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/1-kg-dana-dos-sarma-_286652.jpg,250,26,0,20
1 kg Dana Kuşbaşı,Carrefoursa,"595,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/1-kg-dana-kusbasi-_286488.jpg,250,26,0,20
